"Name","DNSHostName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion","IPv4Address","Lastlogondate"
"SSC-WSCLHRAD01","SSC-WSCLHRAD01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)","10.10.10.148","19/12/2022 9:19:49 AM"
"SSC-LPCLAHRM01","SSC-LPCLAHRM01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"10/09/2020 10:22:05 AM"
"SSC-LPSALES10","SSC-LPSALES10.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"17/08/2021 11:22:33 AM"
"SSC-LPEXSEC01","SSC-LPEXSEC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"05/01/2020 9:21:44 AM"
"SSC-LPCLITM01","SSC-LPCLITM01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"05/01/2020 9:58:24 AM"
"JUM-WSVNGCRD01","JUM-WSVNGCRD01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"30/11/2019 9:52:34 PM"
"SSC-LPSALES11","SSC-LPSALES11.hiexsp.ae","Windows 10 Pro",,"10.0 (19041)",,"27/05/2021 3:06:01 PM"
"MCAFEE","MCAFEE.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)",,"05/02/2020 1:47:23 AM"
"SA-WSFNBSUP01","SA-WSFNBSUP01.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.10.96","21/12/2022 4:56:55 AM"
"SSC-WSSALES02","SSC-WSSALES02.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"09/09/2014 9:58:17 AM"
"SA-WSHKCORD01","SA-WSHKCORD01.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"07/06/2014 10:58:34 AM"
"SSC-LPCRDTMGR01","SSC-LPCRDTMGR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"27/01/2021 9:04:44 AM"
"SSC-LPASTFINC01","SSC-LPASTFINC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"08/09/2020 9:57:41 AM"
"SA-WSTMSPC01",,,,,,
"DIC-ESCHIACC01","DIC-ESCHIACC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"16/06/2014 8:10:42 PM"
"JUM-WSIFC01","JUM-WSIFC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"28/11/2019 2:25:01 PM"
"SSC-LPTRNMGR01","SSC-LPTRNMGR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"16/06/2021 7:04:17 AM"
"SSC-WSSALES03","SSC-WSSALES03.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"08/09/2021 4:19:07 PM"
"SA-WSIFC01","SA-WSIFC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"05/12/2019 9:38:38 PM"
"SCC-WSPROPC01","SCC-WSPROPC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"27/01/2022 11:24:05 AM"
"SSC-LPSALES12","SSC-LPSALES12.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"30/03/2016 7:45:10 AM"
"DIC-WSIFC01","DIC-WSIFC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"27/11/2019 3:28:28 PM"
"DIC-WSVNGCARD01","DIC-WSVNGCARD01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"26/11/2019 3:25:42 AM"
"DIC-WSRECEPT05","DIC-WSRECEPT05.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"29/11/2020 6:34:30 AM"
"SSC-LPSALES13","SSC-LPSALES13.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"29/05/2016 12:13:44 PM"
"AP-WSCIDOPR01","AP-WSCIDOPR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"12/08/2014 12:37:10 PM"
"DIC-WSITOFFICE","DIC-WSITOFFICE.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"21/10/2019 12:49:04 PM"
"SSC-WSISHREC01","SSC-WSISHREC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"11/10/2020 7:57:44 AM"
"SSC-WSSALES04","SSC-WSSALES04.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"30/03/2016 3:34:39 PM"
"SSC-LPSALES14","SSC-LPSALES14.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"14/07/2016 8:44:54 AM"
"SA-SERPPSCAN","SA-SERPPSCAN.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"28/12/2022 8:28:00 AM"
"SA-WSCHFENG01","SA-WSCHFENG01.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.10.240","25/12/2022 10:29:51 AM"
"DATAGUARDSVR","DATAGUARDSVR.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)",,"11/09/2020 1:38:01 AM"
"JUM-SERPPSCAN","JUM-SERPPSCAN.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.20.163","21/12/2022 3:32:38 AM"
"SA-WSFOCID009",,,,,,
"FOFFICE-CID","foffice-cid.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"28/08/2014 1:00:23 PM"
"SA-LPITTEST","SA-LPITTEST.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"11/10/2014 3:47:06 PM"
